Build Tools,Rango de retención,,,,,,Rango de interés,,,,,,Rango de uso,,,
Año,2016,2017,2020,2021,2016,2017,2020,2021,2016,2017,2020,2021,2016,2017,2020,2021
webpack,1,1,4,7,1,1,3,5,2,2,1,1,3,2,1,1
Parcel,,,5,6,,,5,8,,,6,6,,,5,4
Gulp,2,3,9,12,2,3,9,11,1,1,2,3,1,1,2,3
Rollup,,2,6,5,,2,7,9,,4,5,4,,4,6,5
Browserify,3,4,10,11,3,4,10,12,3,3,4,5,2,3,4,6
tsc CLI,,,3,4,,,6,4,,,3,2,,,3,2
Rome,,,8,10,,,4,6,,,10,12,,,8,10
Snowpack,,,2,9,,,1,7,,,8,9,,,7,9
SWC,,,7,3,,,8,3,,,9,10,,,10,11
esbuild,,,1,2,,,2,2,,,7,8,,,9,8
Vite,,,,1,,,,1,,,,7,,,,7
WMR,,,,8,,,,10,,,,11,,,,12