,Rango de retención,,,,,,Rango de interés,,,,,,Rango de uso,,,,,,Rango de Conciencia,,,,,
Year,2016,2017,2018,2019,2020,2021,2016,2017,2018,2019,2020,2021,2016,2017,2018,2019,2020,2021,2016,2017,2018,2019,2020,2021
Jest,4,1,1,1,2,3,4,1,2,1,1,2,3,3,2,1,1,1,3,3,3,2,1,1
Mocha,1,2,3,5,7,8,1,2,3,5,7,8,1,1,1,2,2,2,1,1,1,1,2,2
Storybook,,,2,3,5,6,,,1,2,2,3,,,4,4,3,3,,,4,4,4,4
Cypress,,,,2,3,5,,,,3,3,5,,,,6,5,4,,,,6,5,3
AVA,2,4,5,7,9,9,3,4,5,7,10,10,4,4,5,7,9,10,4,4,5,7,8,9
Jasmine,3,3,4,6,8,10,2,3,4,6,9,11,2,2,3,3,4,5,2,2,2,3,3,6
Puppeteer,,,,4,6,7,,,,4,6,7,,,,5,6,6,,,,5,6,5
Testing Library,,,,,1,1,,,,,4,4,,,,,7,7,,,,,7,7
Playwright,,,,,4,4,,,,,5,6,,,,,10,9,,,,,10,8
WebdriverIO,,,,,10,11,,,,,8,9,,,,,8,8,,,,,9,10
Vitest,,,,,,2,,,,,,1,,,,,,11,,,,,,11